player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,sprint_speed,oaa
Bryce Harper,547180,2022,99,99,99,98,98,82,94,96,96,63,63,25,65,
Gio Urshela,570482,2022,52,67,69,65,35,63,57,57,49,78,32,75,12,2
Mike Trout,545361,2022,98,62,98,99,88,97,99,95,99,8,89,13,97,84
Matt Chapman,656305,2022,85,51,87,88,65,92,93,98,98,23,61,23,72,28
Steven Kwan,680757,2022,38,73,9,2,75,2,2,3,1,100,61,100,81,88
Jake Fraley,641584,2022,,,,,,,,,,,,,44,
Tyler Wade,642180,2022,,,,,,,,,,,,,92,18
Ramón Urías,602104,2022,54,70,70,65,35,48,62,76,93,44,27,40,34,63
Ryan Mountcastle,663624,2022,83,90,91,83,51,93,90,92,89,25,13,20,54,88
Chris Owings,572008,2022,,,,,,,,,,,,,66,
Jesús Sánchez,660821,2022,25,17,37,53,15,57,64,66,54,19,43,21,49,18
Andrew Vaughn,683734,2022,56,72,59,47,50,40,32,91,92,81,17,87,21,2
Carlos Correa,621043,2022,90,88,94,89,83,80,80,83,87,50,69,53,43,12
Gavin Lux,666158,2022,67,71,40,28,79,31,29,22,43,73,81,77,90,77
Keston Hiura,669374,2022,,,,,,,,,,,,,55,
Dansby Swanson,621020,2022,83,76,89,86,60,88,77,71,83,23,44,14,85,99
Jack Suwinski,669261,2022,21,2,35,73,15,44,80,14,27,6,65,20,87,63
Jurickson Profar,595777,2022,63,55,30,25,86,31,19,29,16,87,93,85,35,63
Yadiel Hernandez,628450,2022,36,38,51,54,13,48,61,42,64,37,15,19,12,8
Lane Thomas,657041,2022,7,10,15,30,8,23,29,9,25,34,37,69,93,18
Carlos Santana,467793,2022,87,70,69,65,96,48,53,76,69,90,99,81,15,63
Manny Machado,592518,2022,72,72,73,69,71,76,59,83,90,59,71,58,28,97
Billy McKinney,641856,2022,,,,,,,,,,,,,46,
J.J. Matijevic,656695,2022,,,,,,,,,,,,,36,
Jarren Duran,680776,2022,,,,,,,,,,,,,95,
Rougned Odor,596059,2022,3,2,7,33,2,40,45,29,20,29,21,31,47,3
Isaac Paredes,670623,2022,,,,,,,,,,,,,28,93
