,player_name,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,xera,fb_velocity,fb_spin,curve_spin,rating
99,José Suarez,0.37,0.23,0.5,0.71,0.25,0.47,0.72,0.8,0.77,0.28,0.43,0.47,0.37,0.38,0.32,0.86,7.93
100,Jordan Montgomery,0.53,0.39,0.46,0.52,0.6,0.16,0.54,0.71,0.66,0.57,0.58,0.72,0.53,0.2,0.53,0.21,7.91
101,Josh Taylor,0.46,0.37,0.63,0.79,0.17,0.76,0.3,0.56,0.11,0.83,0.18,0.92,0.46,0.71,0.49,0.13,7.87
102,Jhoulys Chacín,0.42,0.43,0.53,0.61,0.35,0.76,0.82,0.91,0.68,0.12,0.22,0.2,0.42,0.41,0.45,0.49,7.82
103,Wade Miley,0.5,0.31,0.48,0.62,0.55,0.19,0.76,0.95,0.83,0.15,0.67,0.31,0.5,0.02,0.56,0.41,7.81
104,Eric Lauer,0.61,0.6,0.51,0.47,0.68,0.28,0.43,0.25,0.63,0.53,0.47,0.33,0.61,0.28,0.59,0.5,7.77
105,José Urquidy,0.56,0.43,0.29,0.24,0.84,0.24,0.22,0.54,0.7,0.32,0.96,0.4,0.56,0.36,0.43,0.67,7.76
106,Jeff Hoffman,0.31,0.54,0.51,0.51,0.12,0.57,0.56,0.46,0.38,0.5,0.05,0.76,0.31,0.68,0.92,0.56,7.74
107,Archie Bradley,0.57,0.57,0.68,0.75,0.41,0.81,0.72,0.84,0.47,0.14,0.29,0.02,0.57,0.64,0.2,0.03,7.71
108,Zac Gallen,0.57,0.6,0.59,0.56,0.55,0.29,0.48,0.38,0.18,0.7,0.34,0.28,0.57,0.45,0.67,0.47,7.68
109,Zach Eflin,0.61,0.26,0.39,0.51,0.77,0.36,0.63,0.71,0.45,0.41,0.99,0.22,0.61,0.38,0.13,0.22,7.65
110,John Means,0.53,0.46,0.26,0.17,0.84,0.05,0.13,0.71,0.58,0.44,0.96,0.43,0.53,0.41,0.84,0.25,7.59
111,Carlos Hernández,0.39,0.56,0.55,0.54,0.29,0.5,0.59,0.25,0.43,0.29,0.15,0.47,0.39,0.95,0.8,0.41,7.56
112,Cal Quantrill,0.53,0.42,0.54,0.64,0.5,0.22,0.63,0.76,0.81,0.22,0.6,0.19,0.53,0.33,0.27,0.35,7.54
113,José Berríos,0.51,0.46,0.44,0.43,0.66,0.02,0.28,0.57,0.53,0.66,0.85,0.31,0.51,0.62,0.35,0.33,7.53
114,Anthony Misiewicz,0.48,0.29,0.34,0.37,0.64,0.67,0.5,0.1,0.1,0.42,0.78,0.5,0.48,0.25,0.69,0.91,7.52
115,David Price,0.48,0.24,0.58,0.79,0.33,0.72,0.88,0.86,0.78,0.14,0.54,0.14,0.48,0.27,0.06,0.19,7.48
116,Lou Trivino,0.4,0.56,0.51,0.49,0.31,0.54,0.5,0.79,0.85,0.35,0.18,0.29,0.4,0.78,0.13,0.39,7.47
117,Andrew Heaney,0.42,0.53,0.3,0.21,0.65,0.13,0.21,0.36,0.32,0.72,0.65,0.66,0.42,0.29,0.9,0.67,7.44
118,Luis Patiño,0.4,0.45,0.34,0.29,0.49,0.45,0.4,0.25,0.33,0.38,0.43,0.44,0.4,0.84,0.86,0.68,7.43
119,Derek Holland,0.48,0.37,0.47,0.56,0.44,0.81,0.68,0.41,0.22,0.44,0.41,0.37,0.48,0.45,0.74,0.1,7.43
120,Tylor Megill,0.61,0.72,0.43,0.23,0.83,0.31,0.14,0.29,0.25,0.66,0.69,0.47,0.61,0.72,0.3,0.16,7.42
121,Nabil Crismatt,0.5,0.35,0.51,0.65,0.42,0.5,0.62,0.48,0.82,0.26,0.72,0.47,0.5,0.11,0.24,0.23,7.38
122,Anthony DeSclafani,0.58,0.46,0.44,0.4,0.75,0.07,0.45,0.48,0.48,0.42,0.8,0.33,0.58,0.64,0.39,0.04,7.31
123,Marcus Stroman,0.42,0.21,0.36,0.52,0.51,0.13,0.68,0.41,0.25,0.35,0.84,0.54,0.42,0.24,0.79,0.61,7.28
124,Kyle Freeland,0.47,0.39,0.4,0.42,0.59,0.22,0.43,0.57,0.75,0.27,0.63,0.16,0.47,0.23,0.81,0.47,7.28
125,Trevor Richards,0.63,0.76,0.41,0.21,0.8,0.5,0.06,0.15,0.04,0.9,0.42,0.88,0.63,0.4,0.36,0.07,7.22
126,Adrian Houser,0.5,0.48,0.74,0.86,0.25,0.4,0.89,0.83,0.69,0.12,0.2,0.04,0.5,0.57,0.14,0.01,7.22
127,Tyler Anderson,0.43,0.23,0.32,0.4,0.66,0.03,0.38,0.84,0.88,0.19,0.89,0.26,0.43,0.04,0.76,0.48,7.22
128,Austin Gomber,0.51,0.51,0.44,0.37,0.6,0.19,0.21,0.68,0.85,0.48,0.47,0.47,0.51,0.25,0.08,0.6,7.22
129,Josiah Gray,0.33,0.75,0.21,0.03,0.59,0.32,0.03,0.6,0.68,0.59,0.2,0.78,0.33,0.72,0.52,0.46,7.14
130,Logan Gilbert,0.51,0.46,0.33,0.28,0.73,0.22,0.33,0.21,0.11,0.62,0.88,0.58,0.51,0.79,0.4,0.11,7.07
131,Carlos Carrasco,0.28,0.26,0.22,0.19,0.53,0.61,0.42,0.46,0.52,0.31,0.6,0.58,0.28,0.49,0.46,0.85,7.06
132,Cristian Javier,0.32,0.72,0.39,0.21,0.29,0.34,0.16,0.12,0.17,0.88,0.1,0.83,0.32,0.53,0.72,0.94,7.04
133,Mike Minor,0.38,0.42,0.24,0.13,0.7,0.04,0.22,0.56,0.7,0.39,0.81,0.36,0.38,0.17,0.97,0.57,7.04
134,JT Brubaker,0.3,0.32,0.27,0.26,0.44,0.17,0.33,0.48,0.49,0.54,0.71,0.61,0.3,0.47,0.45,0.88,7.02
135,Michael King,0.26,0.26,0.38,0.49,0.19,0.61,0.51,0.53,0.15,0.42,0.43,0.4,0.26,0.66,0.65,0.78,6.98
136,Chad Kuhl,0.25,0.46,0.45,0.45,0.12,0.54,0.58,0.54,0.62,0.34,0.12,0.57,0.25,0.67,0.17,0.79,6.92
137,Rich Hill,0.35,0.5,0.41,0.36,0.38,0.07,0.3,0.6,0.79,0.44,0.5,0.26,0.35,0.03,0.71,0.81,6.86
138,Adbert Alzolay,0.32,0.37,0.22,0.14,0.6,0.11,0.15,0.36,0.56,0.58,0.76,0.55,0.32,0.52,0.54,0.75,6.85
139,Bryan Shaw,0.33,0.35,0.48,0.6,0.21,0.54,0.59,0.51,0.53,0.32,0.15,0.45,0.33,0.43,0.84,0.15,6.81
140,José Ruiz,0.4,0.43,0.36,0.35,0.49,0.57,0.43,0.01,0.01,0.48,0.37,0.33,0.4,0.94,0.69,0.41,6.67
141,Shane McClanahan,0.31,0.21,0.28,0.36,0.42,0.11,0.1,0.02,0.06,0.75,0.67,0.85,0.31,0.89,0.53,0.76,6.63
142,Sean Doolittle,0.39,0.46,0.38,0.35,0.33,0.81,0.62,0.08,0.24,0.52,0.23,0.38,0.39,0.47,0.55,0.43,6.63
143,Chris Flexen,0.43,0.22,0.34,0.43,0.63,0.11,0.72,0.33,0.56,0.09,0.89,0.05,0.43,0.21,0.37,0.81,6.62
144,Ryan Helsley,0.27,0.39,0.41,0.42,0.13,0.76,0.42,0.08,0.17,0.46,0.07,0.6,0.27,0.62,0.94,0.59,6.6
145,Madison Bumgarner,0.39,0.42,0.3,0.27,0.6,0.16,0.53,0.51,0.52,0.26,0.78,0.17,0.39,0.04,0.73,0.52,6.59
